No.,Year.Built,BuildingArea,AreaUnits,Type,County,City,Price.USD
0,1985,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,169900
1,1910,0,sqft,SINGLE_FAMILY,Ware County,Waycross,159000
2,1945,0,Acres,SINGLE_FAMILY,Ware County,Waycross,45000
3,1971,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,165000
4,0,0,Acres,LOT,Ware County,Waycross,128593
5,1980,0,Acres,SINGLE_FAMILY,Ware County,Waycross,173500
6,1999,0,Acres,SINGLE_FAMILY,Brantley County,Waycross,349900
7,1960,0,Acres,SINGLE_FAMILY,Ware County,Waycross,99500
8,1940,0,Acres,SINGLE_FAMILY,Ware County,Waycross,129500
9,1922,0,Acres,SINGLE_FAMILY,Ware County,Waycross,159995
10,1967,0,sqft,SINGLE_FAMILY,Ware County,Waycross,59900
11,2000,0,Acres,SINGLE_FAMILY,Ware County,Waycross,199500
12,1964,0,sqft,SINGLE_FAMILY,Ware County,Waycross,52900
13,0,0,sqft,LOT,Ware County,Waycross,159800
14,1965,0,sqft,SINGLE_FAMILY,Ware County,Waycross,490000
15,1997,0,Acres,LOT,Ware County,Waycross,54999
16,0,0,Acres,LOT,Ware County,Waycross,269999
17,1979,0,Acres,SINGLE_FAMILY,Ware County,Waycross,259900
18,1985,0,Acres,SINGLE_FAMILY,Ware County,Waycross,175000
19,2003,0,Acres,SINGLE_FAMILY,Ware County,Waycross,798000
20,0,0,Acres,LOT,Ware County,Waycross,144000
21,0,0,Acres,LOT,Ware County,Waycross,264500
22,0,0,Acres,LOT,Ware County,Waycross,166000
23,0,0,Acres,LOT,Ware County,Waycross,97500
24,0,0,Acres,LOT,Ware County,Waycross,30000
25,1974,1282,Acres,SINGLE_FAMILY,Jasper County,Mansfield,350000
26,0,0,Acres,LOT,Newton County,Mansfield,1341895
27,0,0,Acres,LOT,Newton County,Mansfield,45000
28,0,0,Acres,LOT,Newton County,Mansfield,758850
29,0,0,Acres,LOT,Jasper County,Mansfield,9980
30,2021,1400,Acres,SINGLE_FAMILY,Jasper County,Mansfield,220000
31,0,0,Acres,LOT,Jasper County,Mansfield,125000
32,0,0,Acres,LOT,Newton County,Mansfield,390350
33,2008,2173,Acres,SINGLE_FAMILY,Jasper County,Mansfield,312500
34,1971,0,Acres,SINGLE_FAMILY,Jasper County,Mansfield,775000
35,2020,2713,Acres,SINGLE_FAMILY,Newton County,Mansfield,364900
36,2021,2377,Acres,SINGLE_FAMILY,Newton County,Mansfield,349900
37,0,0,Acres,LOT,Jasper County,Mansfield,24900
38,2005,2212,Acres,SINGLE_FAMILY,Morgan County,Mansfield,440000
39,2001,7208,Acres,SINGLE_FAMILY,Newton County,Mansfield,1300000
40,1950,1755,Acres,SINGLE_FAMILY,Jasper County,Mansfield,477000
41,0,0,Acres,LOT,Jasper County,Mansfield,700000
42,1960,1443,sqft,SINGLE_FAMILY,Jasper County,Mansfield,296000
43,0,0,sqft,LOT,Jasper County,Mansfield,750000
44,2002,2448,Acres,SINGLE_FAMILY,Jasper County,Mansfield,369900
45,2007,8618,Acres,SINGLE_FAMILY,Morgan County,Mansfield,1200000
46,1978,2842,Acres,SINGLE_FAMILY,Newton County,Mansfield,550000
47,2016,10970,Acres,SINGLE_FAMILY,Newton County,Mansfield,1179900
48,0,0,Acres,LOT,Hart County,Lavonia,113300
49,2003,2396,Acres,SINGLE_FAMILY,Franklin County,Lavonia,379900
50,1980,1065,sqft,SINGLE_FAMILY,Franklin County,Lavonia,325000
51,1983,0,Acres,SINGLE_FAMILY,Franklin County,Lavonia,109000
52,2005,2113,sqft,SINGLE_FAMILY,Franklin County,Lavonia,299999
53,2007,1608,Acres,SINGLE_FAMILY,Franklin County,Lavonia,250000
54,1953,1547,Acres,SINGLE_FAMILY,Franklin County,Lavonia,174500
55,1906,0,sqft,SINGLE_FAMILY,Franklin County,Lavonia,330000
56,0,0,Acres,LOT,Franklin County,Lavonia,35000
57,1972,2648,Acres,SINGLE_FAMILY,Franklin County,Lavonia,587000
58,0,0,Acres,LOT,Franklin County,Lavonia,35000
59,2008,2436,sqft,SINGLE_FAMILY,Franklin County,Lavonia,280000
60,0,0,Acres,LOT,Franklin County,Lavonia,1828800
61,0,0,Acres,LOT,Franklin County,Lavonia,53000
62,0,0,Acres,LOT,Franklin County,Lavonia,26000
63,0,0,sqft,LOT,Franklin County,Lavonia,10
64,0,0,Acres,LOT,Franklin County,Lavonia,1851250
65,0,0,sqft,LOT,Franklin County,Lavonia,5250
66,0,0,sqft,LOT,Franklin County,Lavonia,9300
67,0,0,Acres,LOT,Hart County,Lavonia,225000
68,0,0,Acres,LOT,Hart County,Lavonia,15000
69,0,0,sqft,LOT,Franklin County,Lavonia,4000
70,0,0,Acres,LOT,Hart County,Lavonia,65000
71,0,0,Acres,LOT,Franklin County,Lavonia,59900
72,1960,1758,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,299900
73,2001,1906,sqft,TOWNHOUSE,Dekalb County,Atlanta,350000
74,1968,2197,Acres,SINGLE_FAMILY,Gwinnett County,Doraville,425000
75,1959,2632,Acres,SINGLE_FAMILY,Dekalb County,Dunwoody,475000
76,0,0,sqft,LOT,Dekalb County,Atlanta,99000
77,1991,3822,sqft,SINGLE_FAMILY,Dekalb County,Dunwoody,574900
78,2021,2295,sqft,TOWNHOUSE,Dekalb County,Atlanta,536068
79,1955,1165,sqft,SINGLE_FAMILY,Gwinnett County,Dunwoody,250000
80,2017,3304,Acres,SINGLE_FAMILY,Dekalb County,Doraville,799900
81,2021,0,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,799990
82,1999,2657,sqft,SINGLE_FAMILY,Dekalb County,Dunwoody,484000
83,1985,1900,Acres,SINGLE_FAMILY,Dekalb County,Dunwoody,379000
84,1969,2097,Acres,SINGLE_FAMILY,Gwinnett County,Atlanta,399900
85,1988,3234,Acres,SINGLE_FAMILY,Gwinnett County,Doraville,575000
86,1969,2718,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,499900
87,2013,4857,Acres,SINGLE_FAMILY,Dekalb County,Dunwoody,839900
88,1965,1674,Acres,SINGLE_FAMILY,Dekalb County,Dunwoody,520000
89,2021,2295,sqft,TOWNHOUSE,Dekalb County,Atlanta,537049
90,1966,1762,Acres,SINGLE_FAMILY,Dekalb County,Dunwoody,415000
91,1999,3955,Acres,SINGLE_FAMILY,Gwinnett County,Doraville,575000
92,1999,1700,sqft,SINGLE_FAMILY,Dekalb County,Dunwoody,423000
93,2021,2524,sqft,TOWNHOUSE,Dekalb County,Atlanta,550364
94,2021,2524,sqft,TOWNHOUSE,Dekalb County,Atlanta,532343
95,2021,2524,sqft,TOWNHOUSE,Dekalb County,Atlanta,533264
96,2021,2524,sqft,TOWNHOUSE,Dekalb County,Atlanta,537112
97,1950,0,Acres,SINGLE_FAMILY,Jefferson County,Wadley,35000
98,0,0,sqft,LOT,Jefferson County,Wadley,6500
99,0,0,Acres,LOT,Jefferson County,Wadley,69800
100,1851,5028,Acres,SINGLE_FAMILY,Jefferson County,Wadley,695000
101,1963,1483,Acres,SINGLE_FAMILY,Dekalb County,Decatur,145000
102,1950,1664,Acres,SINGLE_FAMILY,Dekalb County,Decatur,375000
103,1953,1755,Acres,SINGLE_FAMILY,Dekalb County,Decatur,369900
104,1952,1134,Acres,SINGLE_FAMILY,Dekalb County,Decatur,302999
105,0,0,Acres,LOT,Dekalb County,Ellenwood,29900
106,2004,1761,sqft,SINGLE_FAMILY,Dekalb County,Decatur,235000
107,1936,1512,Acres,SINGLE_FAMILY,Dekalb County,Decatur,309900
108,1964,1939,Acres,SINGLE_FAMILY,Dekalb County,Decatur,314999
109,1962,4300,Acres,SINGLE_FAMILY,Dekalb County,Decatur,350000
110,1996,1918,Acres,SINGLE_FAMILY,Dekalb County,Decatur,229900
111,0,0,Acres,LOT,Dekalb County,Decatur,25000
112,1955,1360,Acres,SINGLE_FAMILY,Dekalb County,Decatur,299900
113,1993,1672,Acres,SINGLE_FAMILY,Dekalb County,Decatur,249000
114,1951,1305,Acres,SINGLE_FAMILY,Dekalb County,Decatur,1800
115,1961,1399,Acres,SINGLE_FAMILY,Dekalb County,Decatur,210000
116,1999,1572,Acres,SINGLE_FAMILY,Dekalb County,Decatur,280000
117,1937,2076,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,700000
118,1962,1801,Acres,SINGLE_FAMILY,Dekalb County,Decatur,345000
119,1946,1128,Acres,SINGLE_FAMILY,Dekalb County,Decatur,340000
120,1959,1614,Acres,SINGLE_FAMILY,Dekalb County,Decatur,350000
121,2005,0,sqft,CONDO,Dekalb County,Decatur,80000
122,2004,0,sqft,TOWNHOUSE,Dekalb County,Decatur,140000
123,1950,0,Acres,MULTI_FAMILY,Dekalb County,Decatur,400000
124,1906,1200,Acres,SINGLE_FAMILY,Dekalb County,Decatur,248000
125,0,0,Acres,MULTI_FAMILY,Dekalb County,Decatur,58000
126,2005,0,sqft,SINGLE_FAMILY,Clarke County,Athens,250000
127,1989,1559,Acres,SINGLE_FAMILY,Clarke County,Athens,250000
128,1969,3034,Acres,SINGLE_FAMILY,Clarke County,Athens,319900
129,1980,0,Acres,SINGLE_FAMILY,Clarke County,Athens,319900
130,2003,1864,sqft,SINGLE_FAMILY,Clarke County,Athens,275000
131,1996,3127,Acres,SINGLE_FAMILY,Clarke County,Athens,369000
132,2005,2075,Acres,SINGLE_FAMILY,Clarke County,Athens,299900
133,2006,0,sqft,SINGLE_FAMILY,Clarke County,Athens,309990
134,2004,1784,sqft,SINGLE_FAMILY,Clarke County,Athens,215000
135,1980,1092,sqft,CONDO,Clarke County,Athens,139900
136,1971,4062,Acres,SINGLE_FAMILY,Clarke County,Athens,379900
137,1962,3350,Acres,SINGLE_FAMILY,Clarke County,Athens,299900
138,1976,1440,Acres,SINGLE_FAMILY,Clarke County,Athens,199900
139,1979,1764,Acres,SINGLE_FAMILY,Clarke County,Athens,229000
140,2005,2343,Acres,SINGLE_FAMILY,Clarke County,Athens,350000
141,2004,1162,sqft,CONDO,Clarke County,Athens,204900
142,1987,1500,Acres,SINGLE_FAMILY,Clarke County,Athens,269900
143,1986,2672,sqft,SINGLE_FAMILY,Clarke County,Athens,289900
144,2001,3956,Acres,SINGLE_FAMILY,Clarke County,Athens,425000
145,0,0,Acres,LOT,Clarke County,Winterville,50000
146,1988,1606,Acres,SINGLE_FAMILY,Clarke County,Athens,235000
147,1987,5660,Acres,SINGLE_FAMILY,Oconee County,Watkinsville,599000
148,2021,1756,Acres,SINGLE_FAMILY,Clarke County,Athens,284990
149,2003,7130,Acres,SINGLE_FAMILY,Oconee County,Watkinsville,1198500
150,0,0,Acres,LOT,Clarke County,Athens,320000
151,0,0,Acres,SINGLE_FAMILY,Brooks County,Pavo,295000
152,0,0,Acres,LOT,Thomas County,Pavo,29900
153,1999,0,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,359900
154,1985,0,Acres,SINGLE_FAMILY,Gilmer County,Cherry Log,1299900
155,1995,1560,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,599999
156,2021,0,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,799900
157,0,0,Acres,LOT,Gilmer County,Cherry Log,114900
158,0,0,Acres,LOT,Gilmer County,Cherry Log,16500
159,2010,1362,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,599000
160,2013,2758,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,799900
161,0,0,Acres,LOT,Gilmer County,Cherry Log,29000
162,1997,1000,Acres,SINGLE_FAMILY,Gilmer County,Cherry Log,575000
163,0,0,Acres,LOT,Gilmer County,Cherry Log,750000
164,2007,4000,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,779900
165,2011,0,Acres,SINGLE_FAMILY,Gilmer County,Cherry Log,1000000
166,1963,800,Acres,SINGLE_FAMILY,Gilmer County,Cherry Log,169800
167,0,0,Acres,LOT,Gilmer County,Cherry Log,64900
168,2015,3200,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,1450000
169,2001,4535,Acres,SINGLE_FAMILY,Gilmer County,Cherry Log,1850000
170,0,0,Acres,LOT,Gilmer County,Cherry Log,16500
171,2000,3120,Acres,SINGLE_FAMILY,Fannin County,Cherry Log,899000
172,2008,2260,sqft,TOWNHOUSE,Gwinnett County,Doraville,395000
173,1960,2419,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,535000
174,1963,3791,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,439900
175,1957,2174,Acres,SINGLE_FAMILY,Dekalb County,Doraville,440000
176,1973,0,Acres,SINGLE_FAMILY,Dekalb County,Doraville,349000
177,2006,1429,sqft,CONDO,Dekalb County,Doraville,300000
178,1984,1125,sqft,SINGLE_FAMILY,Gwinnett County,Doraville,249000
179,2007,2605,sqft,TOWNHOUSE,Dekalb County,Doraville,449900
180,1984,0,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,215000
181,1959,2100,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,446900
182,1996,2599,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,445000
183,1985,2117,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,415000
184,1984,1152,sqft,TOWNHOUSE,Dekalb County,Atlanta,165000
185,0,0,Acres,LOT,Gwinnett County,Atlanta,84700
186,2018,1736,sqft,TOWNHOUSE,Gwinnett County,Atlanta,325000
187,1962,1400,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,296000
188,1968,4200,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,695000
189,1992,2136,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,470000
190,1969,1498,Acres,SINGLE_FAMILY,Dekalb County,Atlanta,319000
191,1982,1898,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,375000
192,1955,1219,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,450000
193,1998,2439,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,450000
194,1998,1881,sqft,SINGLE_FAMILY,Dekalb County,Atlanta,445000
195,1978,2847,Acres,SINGLE_FAMILY,Dekalb County,Doraville,495000
196,1965,1438,Acres,SINGLE_FAMILY,Dekalb County,Doraville,348000
197,2001,0,sqft,SINGLE_FAMILY,Houston County,Bonaire,77000
198,0,0,Acres,LOT,Houston County,Bonaire,24900
199,2015,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,315000
200,2002,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,347900
201,1997,1861,sqft,SINGLE_FAMILY,Houston County,Bonaire,189900
202,1997,0,sqft,SINGLE_FAMILY,Houston County,Bonaire,189900
203,2009,0,sqft,SINGLE_FAMILY,Houston County,Bonaire,269900
204,2004,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,179900
205,0,0,Acres,LOT,Houston County,Bonaire,35000
206,0,0,Acres,LOT,Houston County,Bonaire,35000
207,2017,3032,Acres,SINGLE_FAMILY,Houston County,Bonaire,424000
208,2021,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,232900
209,2007,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,360000
210,1956,1242,Acres,SINGLE_FAMILY,Houston County,Bonaire,194900
211,1986,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,335000
212,1992,0,sqft,SINGLE_FAMILY,Houston County,Bonaire,210000
213,1995,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,220000
214,0,0,Acres,LOT,Houston County,Bonaire,70000
215,0,0,Acres,LOT,Houston County,Bonaire,145000
216,1981,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,287500
217,0,0,Acres,LOT,Houston County,Bonaire,75000
218,1989,0,sqft,SINGLE_FAMILY,Houston County,Bonaire,94000
219,0,0,Acres,LOT,Houston County,Bonaire,25000
220,0,0,Acres,LOT,Houston County,Bonaire,23000
221,2004,0,Acres,SINGLE_FAMILY,Houston County,Bonaire,489900
222,1981,0,Acres,MULTI_FAMILY,Gwinnett County,Norcross,369900
223,1980,1888,Acres,SINGLE_FAMILY,Gwinnett County,Norcross,275000
224,1970,0,Acres,MULTI_FAMILY,Gwinnett County,Norcross,330000
225,1971,0,Acres,MULTI_FAMILY,Gwinnett County,Norcross,380000
226,1981,1953,Acres,SINGLE_FAMILY,Gwinnett County,Norcross,350000
227,1982,1700,sqft,CONDO,Gwinnett County,Peachtree Corners,285000
228,1984,3064,Acres,SINGLE_FAMILY,Gwinnett County,Duluth,395000
229,2007,2713,sqft,TOWNHOUSE,Gwinnett County,Peachtree Corners,389900
230,2007,2713,sqft,TOWNHOUSE,Gwinnett County,Peachtree Corners,389900
231,2007,2243,sqft,SINGLE_FAMILY,Gwinnett County,Duluth,400000
232,1986,1194,Acres,SINGLE_FAMILY,Gwinnett County,Duluth,219900
233,1972,0,Acres,MULTI_FAMILY,Gwinnett County,Norcross,325000
234,2005,1214,Acres,TOWNHOUSE,Gwinnett County,Norcross,199900
235,1984,1032,sqft,SINGLE_FAMILY,Gwinnett County,Norcross,293000
236,1998,3161,sqft,SINGLE_FAMILY,Gwinnett County,Norcross,500000
237,2007,1716,sqft,SINGLE_FAMILY,Gwinnett County,Norcross,415000
238,1983,1856,Acres,SINGLE_FAMILY,Gwinnett County,Norcross,290000
239,2005,2226,sqft,TOWNHOUSE,Gwinnett County,Peachtree Corners,369900
240,1996,3776,Acres,SINGLE_FAMILY,Gwinnett County,Norcross,500000
241,2001,1296,sqft,TOWNHOUSE,Gwinnett County,Peachtree Corners,235000
242,2001,2099,sqft,TOWNHOUSE,Gwinnett County,Norcross,300000
243,2020,2417,sqft,TOWNHOUSE,Gwinnett County,Peachtree Corners,510000
244,1961,0,Acres,MULTI_FAMILY,Gwinnett County,Norcross,269500
245,2005,2345,sqft,TOWNHOUSE,Gwinnett County,Norcross,275000
246,1968,1787,sqft,SINGLE_FAMILY,Muscogee County,Upatoi,249900
247,2003,3391,Acres,SINGLE_FAMILY,Muscogee County,Upatoi,378500
248,2021,2707,Acres,SINGLE_FAMILY,Muscogee County,Upatoi,363290
249,0,0,Acres,LOT,Muscogee County,Upatoi,55000
250,0,0,Acres,LOT,Muscogee County,Upatoi,65000
251,0,0,Acres,LOT,Harris County,Upatoi,149900
252,0,0,Acres,LOT,Muscogee County,Upatoi,5200000
253,0,0,Acres,LOT,Muscogee County,Upatoi,60000
254,1997,6308,Acres,SINGLE_FAMILY,Muscogee County,Upatoi,4900000
255,2004,0,Acres,SINGLE_FAMILY,Houston County,Centerville,159900
256,0,0,Acres,LOT,Houston County,Centerville,20000
257,0,0,Acres,LOT,Houston County,Centerville,20000
258,0,0,Acres,LOT,Houston County,Centerville,18000
259,0,0,Acres,LOT,Houston County,Centerville,80000
260,0,0,Acres,LOT,Houston County,Centerville,17000
261,0,0,Acres,LOT,Houston County,Centerville,17000
262,0,0,Acres,LOT,Houston County,Centerville,17000
263,0,0,Acres,LOT,Houston County,Centerville,17000
264,0,0,Acres,LOT,Houston County,Centerville,17000
265,0,0,Acres,LOT,Houston County,Centerville,17000
266,0,0,Acres,LOT,Houston County,Centerville,20000
267,1950,1240,sqft,SINGLE_FAMILY,Troup County,Hogansville,60000
268,1982,3763,Acres,SINGLE_FAMILY,Troup County,Hogansville,399000
269,0,0,Acres,LOT,Troup County,Hogansville,25000
270,1910,1304,Acres,SINGLE_FAMILY,Troup County,Hogansville,40700
271,2021,3107,Acres,SINGLE_FAMILY,Meriwether County,Hogansville,374900
272,0,0,Acres,LOT,Troup County,Hogansville,10200
273,0,0,Acres,LOT,Troup County,Hogansville,52300
274,0,0,Acres,LOT,Meriwether County,Hogansville,47000
275,0,0,Acres,LOT,Troup County,Hogansville,19700
276,0,0,Acres,LOT,Troup County,Hogansville,1500000
277,0,0,Acres,LOT,Troup County,Hogansville,9999
278,0,0,Acres,LOT,Troup County,Hogansville,53000
279,0,0,Acres,LOT,Troup County,Hogansville,9999
280,0,0,Acres,LOT,Heard County,Hogansville,13000
281,0,0,Acres,LOT,Troup County,Hogansville,93000
282,0,0,Acres,LOT,Troup County,Hogansville,15000
283,0,0,Acres,LOT,Troup County,Hogansville,250000
284,0,0,Acres,LOT,Coweta County,Hogansville,55000
285,0,0,Acres,LOT,Troup County,Hogansville,6500
286,0,0,Acres,LOT,Troup County,Hogansville,37000
287,0,0,Acres,LOT,Troup County,Hogansville,55000
288,0,0,sqft,LOT,Troup County,Hogansville,10000
289,0,0,Acres,LOT,Troup County,Hogansville,52000
290,0,0,Acres,LOT,Troup County,Hogansville,29900
291,1940,757,sqft,SINGLE_FAMILY,Troup County,Hogansville,69900
292,1988,1296,sqft,CONDO,Clarke County,Athens,279900
293,2008,2330,Acres,SINGLE_FAMILY,Clarke County,Athens,749900
294,1968,3459,Acres,SINGLE_FAMILY,Clarke County,Athens,599900
295,1950,987,sqft,SINGLE_FAMILY,Clarke County,Athens,239900
296,1945,1296,Acres,SINGLE_FAMILY,Clarke County,Athens,300000
297,1965,1922,sqft,SINGLE_FAMILY,Clarke County,Athens,430000
298,1957,2125,Acres,SINGLE_FAMILY,Clarke County,Athens,339000
299,1965,1347,Acres,SINGLE_FAMILY,Clarke County,Athens,374000
300,1960,712,Acres,SINGLE_FAMILY,Clarke County,Athens,200000
301,2006,1430,Acres,SINGLE_FAMILY,Clarke County,Athens,349900
302,0,0,Acres,LOT,Clarke County,Athens,82500
303,1989,2921,Acres,SINGLE_FAMILY,Clarke County,Athens,664000
304,0,0,Acres,LOT,Clarke County,Athens,525000
305,0,0,sqft,LOT,Clarke County,Athens,55000
306,0,0,sqft,LOT,Clarke County,Athens,875600
307,1989,1536,sqft,SINGLE_FAMILY,Clarke County,Athens,165000
308,1983,0,sqft,CONDO,Clarke County,Athens,149900
309,1930,1240,sqft,SINGLE_FAMILY,Clarke County,Athens,319990
310,1948,4919,Acres,SINGLE_FAMILY,Clarke County,Athens,915000
311,2017,2598,Acres,SINGLE_FAMILY,Clarke County,Athens,700000
312,1962,1983,Acres,SINGLE_FAMILY,Clarke County,Athens,499900
313,0,0,Acres,LOT,Clarke County,Athens,239900
314,2020,1841,sqft,SINGLE_FAMILY,Clarke County,Athens,405000
315,1945,910,sqft,SINGLE_FAMILY,Clarke County,Athens,215000
316,1973,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,209900
317,1972,2166,Acres,SINGLE_FAMILY,Dougherty County,Albany,159900
318,1976,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,310000
319,1991,0,sqft,MULTI_FAMILY,Dougherty County,Albany,199900
320,2003,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,189900
321,1925,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,109900
322,1973,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,225000
323,1984,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,209900
324,2003,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,227000
325,1979,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,135000
326,1994,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,425000
327,0,0,Acres,LOT,Dougherty County,Albany,30000
328,2021,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,209900
329,0,0,Acres,LOT,Dougherty County,Albany,29900
330,1993,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,189900
331,1985,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,183500
332,1972,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,419000
333,0,0,Acres,LOT,Dougherty County,Albany,30500
334,0,0,Acres,LOT,Dougherty County,Albany,34000
335,0,0,Acres,LOT,Dougherty County,Albany,29700
336,0,0,Acres,LOT,Dougherty County,Albany,40000
337,0,0,Acres,LOT,Dougherty County,Albany,34500
338,0,0,Acres,LOT,Dougherty County,Albany,29000
339,0,0,Acres,LOT,Dougherty County,Albany,40000
340,0,0,Acres,LOT,Dougherty County,Albany,48000
341,0,0,Acres,LOT,Dougherty County,Albany,24000
342,1996,0,sqft,SINGLE_FAMILY,Dougherty County,Albany,112900
343,1976,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,338500
344,1990,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,625000
345,0,0,Acres,LOT,Dougherty County,Albany,1948000
346,1964,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,174900
347,1978,0,Acres,MULTI_FAMILY,Dougherty County,Albany,135900
348,1967,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,144500
349,1985,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,195000
350,0,0,Acres,LOT,Dougherty County,Albany,59900
351,0,0,Acres,LOT,Dougherty County,Albany,685000
352,0,0,Acres,LOT,Dougherty County,Albany,84000
353,0,0,Acres,LOT,Dougherty County,Albany,99500
354,0,0,Acres,LOT,Terrell County,Albany,37500
355,0,0,Acres,LOT,Dougherty County,Albany,49000
356,1988,0,Acres,SINGLE_FAMILY,Dougherty County,Albany,382500
357,2020,0,Acres,LOT,Dougherty County,Albany,54500
358,0,0,Acres,LOT,Dougherty County,Albany,40000
359,0,0,Acres,MULTI_FAMILY,Dougherty County,Albany,20000
360,0,0,Acres,LOT,Dougherty County,Albany,63000
361,0,0,sqft,LOT,Dougherty County,Albany,27500
362,0,0,sqft,LOT,Dougherty County,Albany,27500
363,0,0,Acres,LOT,Dougherty County,Albany,39000
364,0,0,Acres,LOT,Dougherty County,Albany,11500
365,0,0,Acres,LOT,Dougherty County,Albany,15500
366,1973,3430,Acres,SINGLE_FAMILY,Spalding County,Brooks,499900
367,0,0,Acres,LOT,Fayette County,Brooks,79800
368,0,0,Acres,LOT,Fayette County,Brooks,149000
369,0,0,Acres,LOT,Fayette County,Brooks,198000
370,0,0,Acres,LOT,Spalding County,Brooks,429000
371,0,0,Acres,LOT,Fayette County,Brooks,300000
372,0,0,Acres,LOT,Fayette County,Brooks,298500
373,0,0,Acres,LOT,Fayette County,Brooks,199900
374,1988,8527,Acres,SINGLE_FAMILY,Fayette County,Brooks,998950
375,2017,3290,Acres,SINGLE_FAMILY,Spalding County,Brooks,799000
376,1997,6774,Acres,SINGLE_FAMILY,Fayette County,Brooks,749900
377,1990,2483,Acres,SINGLE_FAMILY,Fayette County,Brooks,435000
378,1987,3770,Acres,SINGLE_FAMILY,Fayette County,Brooks,625000
379,1997,9035,Acres,SINGLE_FAMILY,Spalding County,Brooks,1100000
380,1984,1875,Acres,SINGLE_FAMILY,Fayette County,Brooks,630000
381,0,0,Acres,LOT,Fayette County,Fayetteville,969600
382,2015,2265,Acres,SINGLE_FAMILY,Oconee County,Bishop,449900
383,2009,6746,Acres,SINGLE_FAMILY,Morgan County,Bishop,630000
384,2017,3116,Acres,SINGLE_FAMILY,Oconee County,Bishop,525000
385,2002,4259,Acres,SINGLE_FAMILY,Oconee County,Bishop,849900
386,0,0,Acres,LOT,Oconee County,Bishop,120000
387,2013,6200,Acres,SINGLE_FAMILY,Oconee County,Bishop,749000
388,2002,0,Acres,SINGLE_FAMILY,Oconee County,Bishop,799000
389,2007,3530,Acres,SINGLE_FAMILY,Oconee County,Bishop,740000
390,1997,3198,Acres,SINGLE_FAMILY,Morgan County,Bishop,710000
391,2002,5352,Acres,SINGLE_FAMILY,Oconee County,Bishop,1199000
392,2001,6589,Acres,SINGLE_FAMILY,Oconee County,Bishop,1149000
393,2005,0,Acres,SINGLE_FAMILY,Oconee County,Bishop,1350000
394,1983,808,Acres,SINGLE_FAMILY,Oconee County,Bishop,449000
395,1996,5097,Acres,SINGLE_FAMILY,Oconee County,Bishop,889000
396,0,0,Acres,LOT,Oconee County,Bishop,125000
397,0,0,Acres,LOT,Oconee County,Bishop,125000
398,0,0,Acres,LOT,Oconee County,Bishop,125000
399,0,0,Acres,LOT,Oconee County,Bishop,125000
400,0,0,Acres,LOT,Oconee County,Bishop,125000
